MedicationName,QuantityGrams,ExpDate,BatchNumber,Supplier
Aspirin,100.000000,2024-12-31,83,Pharma Inc.
Ibuprofen,200.000000,2025-06-30,84,HealthCorp
Paracetamol,150.000000,2023-11-15,85,MedSupply
Amoxicillin,250.000000,2024-01-20,86,Pharma Inc.
Cetirizine,300.000000,2025-03-10,87,HealthCorp
Metformin,400.000000,2024-09-25,88,Pharma Inc.
Lisinopril,500.000000,2025-12-05,89,HealthCorp
Atorvastatin,600.000000,2023-08-30,90,MedSupply
Omeprazole,700.000000,2024-07-15,91,Pharma Inc.
Simvastatin,800.000000,2025-02-20,92,HealthCorp
Levothyroxine,900.000000,2023-10-10,93,MedSupply
Gabapentin,1000.000000,2024-11-05,94,Pharma Inc.
Hydrochlorothiazide,1100.000000,2025-01-25,95,HealthCorp
Amlodipine,1200.000000,2023-12-15,96,MedSupply
Metoprolol,1300.000000,2024-03-30,97,Pharma Inc.
Losartan,1400.000000,2025-04-10,98,HealthCorp
Azithromycin,1500.000000,2023-09-20,99,MedSupply
Albuterol,1600.000000,2024-06-05,100,Pharma Inc.
Gabapentin,1700.000000,2025-07-15,101,HealthCorp
Prednisone,1800.000000,2023-11-25,102,MedSupply
Fluconazole,1900.000000,2024-10-20,103,Pharma Inc.
Doxycycline,2000.000000,2025-05-30,104,HealthCorp
Carbamazepine,2100.000000,2023-12-25,105,MedSupply
Ketoconazole,2200.000000,2024-08-15,106,Pharma Inc.
Ranitidine,2300.000000,2025-03-05,107,HealthCorp
Tacrolimus,2400.000000,2023-11-10,108,MedSupply
Cyclosporine,2500.000000,2024-09-20,109,Pharma Inc.
Oseltamivir,2600.000000,2025-06-25,110,HealthCorp
Acyclovir,2700.000000,2023-10-15,111,MedSupply
Risperidone,2800.000000,2024-07-10,112,Pharma Inc.
